ConstellationName,Index,RightAscension,Declination,Longitude,Latitude
AND,1,22.96435358,35.1682358,-15.53475,35.16824
AND,2,22.95619008,53.1680298,-15.65715,53.16803
AND,3,23.43019292,53.1870041,-8.54715,53.187
AND,4,23.4310455,50.6870193,-8.53425,50.68702
AND,5,23.68470381,50.6929131,-4.7295,50.69291
AND,6,23.68507192,48.6929169,-4.72395,48.69292
AND,7,0.2764245,48.6949348,4.1463,48.69493
AND,8,0.27621858,46.6949348,4.1433,46.69493
AND,9,0.98507181,46.6757545,14.77605,46.67575
AND,10,0.9859245,48.6757393,14.7888,48.67574
AND,11,1.23922719,48.663269,18.58845,48.66327
AND,12,1.24039358,50.6632347,18.60585,50.66323
AND,13,1.49386242,50.6478767,22.4079,50.64788
AND,14,1.79790158,50.6257439,26.9685,50.62574
AND,15,1.79542931,47.625843,26.93145,47.62584
AND,16,2.17476608,47.5927505,32.62155,47.59275
AND,17,2.17825342,51.0925827,32.67375,51.09258
AND,18,2.65903192,51.0423737,39.88545,51.04237
AND,19,2.64528942,37.2931557,39.67935,37.29316
AND,20,2.12473942,37.347084,31.8711,37.34708
AND,21,2.1236167,35.5971375,31.8543,35.59714
AND,22,1.527389,35.6453362,22.91085,35.64534
AND,23,1.52649508,33.6453705,22.8975,33.64537
AND,24,0.82953758,33.6818962,12.4431,33.6819
AND,25,0.82756608,24.4319324,12.41355,24.43193
AND,26,0.96160431,24.4266243,14.424,24.42662
AND,27,0.96098769,21.6766376,14.41485,21.67664
AND,28,0.24932808,21.6951923,3.73995,21.69519
AND,29,0.24937631,22.6951923,3.7407,22.69519
AND,30,0.17400108,22.6957588,2.61,22.69576
AND,31,0.1741895,28.6957588,2.61285,28.69576
AND,32,0.10708108,28.6960354,1.6062,28.69604
AND,33,0.10713181,32.0293655,1.60695,32.02937
AND,34,23.85524942,32.0285034,-2.17125,32.0285
AND,35,23.8552055,32.7785072,-2.17185,32.77851
AND,36,23.60327719,32.7746468,-5.9508,32.77465
AND,37,23.60294531,35.1913109,-5.95575,35.19131
ANT,38,9.46,-24.5425186,141.9,-24.54252
ANT,39,9.45,-37.2920151,141.75,-37.29202
ANT,40,9.45,-40.2918739,141.75,-40.29187
ANT,41,11.1,-40.4246216,166.5,-40.42462
ANT,42,11.1,-35.6746559,166.5,-35.67466
ANT,43,10.93,-35.6664963,163.95,-35.6665
ANT,44,10.93,-31.8332005,163.95,-31.8332
ANT,45,10.68,-31.8185863,160.2,-31.81859
ANT,46,10.68,-29.8186131,160.2,-29.81861
ANT,47,10.35,-29.7947845,155.25,-29.79478
ANT,48,10.35,-27.1281624,155.25,-27.12816
ANT,49,9.84,-27.0835037,147.6,-27.0835
ANT,50,9.85,-24.5835705,147.75,-24.58357
APS,51,13.94,-83.1200714,-150.9,-83.12007
APS,52,18.46,-82.4582748,-83.1,-82.45827
APS,53,18.28,-74.9745178,-85.8,-74.97452
APS,54,18.22,-67.4800797,-86.7,-67.48008
APS,55,17.72,-67.571106,-94.2,-67.57111
APS,56,17.22,-67.661087,-101.7,-67.66109
APS,57,17.23,-70.1597443,-101.55,-70.15974
APS,58,14.94,-70.5115433,-135.9,-70.51154
APS,59,13.83,-70.6244431,-152.55,-70.62444
APS,60,13.85,-75.6235962,-152.25,-75.6236
AQR,61,20.64,0.4361772,-50.4,0.43618
AQR,62,20.64,2.4360874,-50.4,2.43609
AQR,63,20.94,2.4773185,-45.9,2.47732
AQR,64,21.44,2.5393796,-38.4,2.53938
AQR,65,21.57,2.5544112,-36.45,2.55441
AQR,66,21.57,3.3043909,-36.45,3.30439
AQR,67,21.77,3.3256676,-33.45,3.32567
AQR,68,21.77,2.325691,-33.45,2.32569
